날짜,발전기ID,운영상태,가동상태,최근점검일,다음점검예정일,발전기나이(년)
2023-01-07,GEN_004,점검중,정지,2022-12-29,2023-02-04,11
2023-01-07,GEN_005,정상운영,정지,2022-12-31,2023-01-21,5
2023-01-07,GEN_006,정상운영,운전,2022-12-13,2023-01-31,8
2023-01-07,GEN_007,정상운영,운전,2023-01-02,2023-02-02,7
2023-01-07,GEN_008,점검중,운전,2022-12-18,2023-02-01,9
2023-01-07,GEN_009,정상운영,운전,2022-12-27,2023-01-21,2
2023-01-07,GEN_010,정상운영,운전,2023-01-02,2023-01-24,5
2023-01-08,GEN_001,정상운영,대기,2022-12-26,2023-02-04,11
2023-01-08,GEN_002,정상운영,정지,2023-01-06,2023-01-19,10
2023-01-08,GEN_003,정상운영,운전,2022-12-22,2023-01-26,2
2023-01-08,GEN_004,정상운영,운전,2023-01-05,2023-02-05,2
2023-01-08,GEN_005,정상운영,운전,2022-12-29,2023-02-03,13
2023-01-08,GEN_006,정상운영,대기,2022-12-10,2023-02-03,3
2023-01-08,GEN_007,정상운영,운전,2022-12-24,2023-02-05,12
2023-01-08,GEN_008,정상운영,정지,2022-12-11,2023-02-01,13
2023-01-08,GEN_009,정상운영,운전,2023-01-03,2023-02-01,8
2023-01-08,GEN_010,정상운영,운전,2022-12-18,2023-01-26,13
2023-01-09,GEN_001,정상운영,운전,2022-12-30,2023-02-01,3
2023-01-09,GEN_002,정상운영,운전,2023-01-03,2023-01-30,10
2023-01-09,GEN_003,정상운영,운전,2022-12-24,2023-01-21,8
2023-01-09,GEN_004,정상운영,정지,2022-12-12,2023-01-22,6
2023-01-09,GEN_005,정상운영,운전,2022-12-14,2023-02-05,7
2023-01-09,GEN_006,정상운영,운전,2023-01-04,2023-02-07,6
2023-01-09,GEN_007,정상운영,운전,2022-12-14,2023-01-19,7
2023-01-09,GEN_008,정상운영,운전,2023-01-02,2023-01-31,2
2023-01-09,GEN_009,정상운영,대기,2023-01-05,2023-01-26,11
2023-01-09,GEN_010,정상운영,정지,2023-01-04,2023-02-07,14
2023-01-10,GEN_001,정상운영,대기,2023-01-04,2023-01-31,6
2023-01-10,GEN_002,정상운영,대기,2023-01-09,2023-02-06,9
2023-01-10,GEN_003,고장,정지,2022-12-24,2023-01-23,6
2023-01-10,GEN_004,정상운영,운전,2023-01-05,2023-02-04,10
2023-01-10,GEN_005,정상운영,운전,2022-12-28,2023-02-01,13
2023-01-10,GEN_006,정상운영,운전,2022-12-30,2023-01-28,10
2023-01-10,GEN_007,고장,운전,2022-12-14,2023-02-04,13
2023-01-10,GEN_008,정상운영,운전,2022-12-25,2023-02-01,6
2023-01-10,GEN_009,정비중,운전,2022-12-30,2023-01-30,4
2023-01-10,GEN_010,점검중,운전,2022-12-27,2023-01-21,6
2023-01-11,GEN_001,정상운영,운전,2023-01-05,2023-01-28,12
2023-01-11,GEN_002,정상운영,운전,2022-12-30,2023-02-08,13
2023-01-11,GEN_003,정상운영,운전,2023-01-05,2023-02-09,14
2023-01-11,GEN_004,정상운영,운전,2022-12-18,2023-01-24,12
2023-01-11,GEN_005,정비중,운전,2022-12-24,2023-02-06,9
2023-01-11,GEN_006,정상운영,운전,2023-01-03,2023-01-23,7
2023-01-11,GEN_007,정상운영,운전,2023-01-01,2023-01-26,10
2023-01-11,GEN_008,정상운영,정지,2022-12-25,2023-01-24,14
2023-01-11,GEN_009,정상운영,대기,2022-12-25,2023-01-30,5
2023-01-11,GEN_010,정상운영,운전,2023-01-02,2023-02-09,5
2023-01-12,GEN_001,정상운영,운전,2022-12-29,2023-02-06,11
2023-01-12,GEN_002,정상운영,운전,2023-01-10,2023-02-03,5
2023-01-12,GEN_003,정상운영,운전,2022-12-25,2023-02-03,5
2023-01-12,GEN_004,정상운영,운전,2022-12-22,2023-02-01,5
2023-01-12,GEN_005,정상운영,운전,2023-01-02,2023-02-10,2
2023-01-12,GEN_006,정상운영,정지,2023-01-03,2023-02-09,12
2023-01-12,GEN_007,정상운영,운전,2022-12-16,2023-02-04,12
2023-01-12,GEN_008,정상운영,운전,2022-12-31,2023-02-09,2
2023-01-12,GEN_009,정상운영,운전,2022-12-30,2023-02-09,9
2023-01-12,GEN_010,정상운영,운전,2022-12-31,2023-02-04,4
2023-01-13,GEN_001,정상운영,운전,2022-12-23,2023-02-06,8
2023-01-13,GEN_002,정상운영,운전,2023-01-11,2023-02-09,12
2023-01-13,GEN_003,정상운영,운전,2023-01-12,2023-02-06,6
2023-01-13,GEN_004,정상운영,운전,2023-01-06,2023-01-25,6
2023-01-13,GEN_005,정상운영,운전,2022-12-22,2023-01-26,6
2023-01-13,GEN_006,정상운영,대기,2022-12-25,2023-01-30,13
2023-01-13,GEN_007,정상운영,운전,2023-01-11,2023-02-03,7
2023-01-13,GEN_008,정상운영,운전,2023-01-03,2023-01-23,12
2023-01-13,GEN_009,정상운영,정지,2022-12-15,2023-01-29,3
2023-01-13,GEN_010,정상운영,대기,2023-01-10,2023-01-23,14
2023-01-14,GEN_001,정상운영,운전,2022-12-22,2023-02-07,9
2023-01-14,GEN_002,정상운영,대기,2022-12-31,2023-01-30,12
2023-01-14,GEN_003,정상운영,정지,2023-01-05,2023-01-27,5
2023-01-14,GEN_004,정상운영,운전,2022-12-25,2023-01-29,3
2023-01-14,GEN_005,정상운영,운전,2022-12-23,2023-02-11,11
2023-01-14,GEN_006,정비중,운전,2022-12-28,2023-01-28,12
2023-01-14,GEN_007,정상운영,정지,2022-12-28,2023-02-03,7
2023-01-14,GEN_008,고장,운전,2023-01-04,2023-02-02,8
2023-01-14,GEN_009,정상운영,운전,2022-12-27,2023-01-28,12
2023-01-14,GEN_010,정비중,운전,2022-12-23,2023-01-28,3
2023-01-15,GEN_001,정상운영,운전,2023-01-04,2023-02-04,3
2023-01-15,GEN_002,정상운영,운전,2023-01-02,2023-02-05,9
2023-01-15,GEN_003,정비중,운전,2022-12-19,2023-02-02,7
2023-01-15,GEN_004,정상운영,운전,2022-12-18,2023-02-02,6
2023-01-15,GEN_005,정상운영,정지,2023-01-14,2023-02-06,6
2023-01-15,GEN_006,정상운영,운전,2022-12-18,2023-01-27,12
2023-01-15,GEN_007,정상운영,정지,2022-12-23,2023-02-07,13
2023-01-15,GEN_008,정상운영,운전,2022-12-23,2023-01-30,12
2023-01-15,GEN_009,정상운영,운전,2023-01-09,2023-02-01,2
2023-01-15,GEN_010,정상운영,운전,2023-01-03,2023-02-12,6
2023-01-16,GEN_001,정상운영,운전,2023-01-09,2023-01-27,8
2023-01-16,GEN_002,정상운영,운전,2022-12-26,2023-01-29,12
2023-01-16,GEN_003,정상운영,운전,2023-01-10,2023-02-02,14
2023-01-16,GEN_004,정상운영,정지,2023-01-08,2023-02-14,8
2023-01-16,GEN_005,정비중,정지,2023-01-08,2023-02-10,14
2023-01-16,GEN_006,정상운영,운전,2023-01-11,2023-02-07,12
2023-01-16,GEN_007,정상운영,정지,2023-01-15,2023-02-02,2
2023-01-16,GEN_008,정상운영,운전,2023-01-14,2023-02-06,3
2023-01-16,GEN_009,정상운영,정지,2022-12-28,2023-02-04,10
2023-01-16,GEN_010,점검중,대기,2022-12-18,2023-01-30,14
2023-01-17,GEN_001,정상운영,대기,2022-12-27,2023-01-30,10
2023-01-17,GEN_002,정상운영,운전,2022-12-31,2023-02-14,14
2023-01-17,GEN_003,정상운영,운전,2023-01-14,2023-02-08,7
2023-01-17,GEN_004,정비중,운전,2022-12-19,2023-02-04,7
2023-01-17,GEN_005,정상운영,운전,2022-12-19,2023-02-13,13
2023-01-17,GEN_006,정상운영,운전,2022-12-22,2023-01-29,12
2023-01-17,GEN_007,정상운영,운전,2022-12-23,2023-02-03,5
2023-01-17,GEN_008,정상운영,운전,2023-01-06,2023-02-04,4
2023-01-17,GEN_009,정상운영,운전,2022-12-19,2023-02-12,13
2023-01-17,GEN_010,정상운영,정지,2022-12-30,2023-02-07,14
2023-01-18,GEN_001,정상운영,운전,2022-12-20,2023-02-08,12
2023-01-18,GEN_002,정상운영,운전,2023-01-10,2023-02-16,10
2023-01-18,GEN_003,정비중,대기,2023-01-07,2023-01-29,5
2023-01-18,GEN_004,정상운영,정지,2023-01-12,2023-01-31,9
2023-01-18,GEN_005,정상운영,운전,2022-12-20,2023-02-01,9
2023-01-18,GEN_006,정비중,운전,2022-12-23,2023-01-29,2
2023-01-18,GEN_007,정상운영,운전,2023-01-11,2023-02-16,6
2023-01-18,GEN_008,정상운영,운전,2022-12-30,2023-02-10,10
2023-01-18,GEN_009,정상운영,운전,2022-12-29,2023-01-31,12
2023-01-18,GEN_010,정상운영,대기,2022-12-28,2023-01-29,6
2023-01-19,GEN_001,정상운영,운전,2023-01-09,2023-01-31,13
2023-01-19,GEN_002,정상운영,운전,2022-12-23,2023-02-17,6
2023-01-19,GEN_003,정비중,운전,2023-01-02,2023-01-30,14
2023-01-19,GEN_004,정비중,운전,2022-12-31,2023-02-07,10
2023-01-19,GEN_005,점검중,운전,2023-01-16,2023-01-30,10
2023-01-19,GEN_006,정상운영,운전,2023-01-10,2023-02-16,14
2023-01-19,GEN_007,정비중,운전,2023-01-11,2023-01-29,7
2023-01-19,GEN_008,정상운영,정지,2023-01-03,2023-01-29,7
2023-01-19,GEN_009,정상운영,정지,2022-12-23,2023-02-07,10
2023-01-19,GEN_010,정상운영,운전,2023-01-18,2023-01-30,6
2023-01-20,GEN_001,고장,운전,2023-01-09,2023-02-03,9
2023-01-20,GEN_002,정상운영,운전,2023-01-12,2023-02-09,10
2023-01-20,GEN_003,정상운영,운전,2023-01-05,2023-02-01,5
2023-01-20,GEN_004,정상운영,운전,2022-12-28,2023-01-30,9
2023-01-20,GEN_005,점검중,정지,2022-12-23,2023-02-05,8
2023-01-20,GEN_006,정비중,운전,2023-01-13,2023-02-07,6
2023-01-20,GEN_007,점검중,운전,2023-01-11,2023-02-12,12
2023-01-20,GEN_008,정비중,정지,2023-01-06,2023-01-30,8
2023-01-20,GEN_009,정상운영,운전,2022-12-25,2023-02-01,8
2023-01-20,GEN_010,정상운영,정지,2023-01-07,2023-02-06,12
2023-01-21,GEN_001,점검중,운전,2023-01-04,2023-02-19,2
2023-01-21,GEN_002,정상운영,정지,2023-01-03,2023-02-09,7
2023-01-21,GEN_003,정상운영,운전,2022-12-29,2023-02-06,3
2023-01-21,GEN_004,점검중,운전,2023-01-15,2023-02-13,7
2023-01-21,GEN_005,정상운영,운전,2023-01-10,2023-02-14,13
2023-01-21,GEN_006,정비중,운전,2023-01-10,2023-02-04,8
2023-01-21,GEN_007,고장,운전,2023-01-15,2023-02-15,11
2023-01-21,GEN_008,정상운영,운전,2023-01-19,2023-02-11,9
2023-01-21,GEN_009,정상운영,운전,2023-01-07,2023-02-07,9
2023-01-21,GEN_010,정상운영,운전,2023-01-01,2023-02-01,10
2023-01-22,GEN_001,정상운영,운전,2023-01-15,2023-02-01,6
2023-01-22,GEN_002,점검중,운전,2023-01-05,2023-02-13,4
2023-01-22,GEN_003,정상운영,운전,2022-12-30,2023-02-07,13
2023-01-22,GEN_004,정상운영,운전,2022-12-25,2023-02-18,10
2023-01-22,GEN_005,정상운영,운전,2023-01-20,2023-02-17,11
2023-01-22,GEN_006,정상운영,운전,2022-12-29,2023-02-16,6
2023-01-22,GEN_007,정상운영,운전,2023-01-11,2023-02-12,13
2023-01-22,GEN_008,정상운영,대기,2023-01-13,2023-02-10,7
2023-01-22,GEN_009,정상운영,운전,2023-01-06,2023-02-07,2
2023-01-22,GEN_010,정상운영,운전,2023-01-11,2023-02-03,4
2023-01-23,GEN_001,정상운영,운전,2023-01-15,2023-02-17,9
2023-01-23,GEN_002,정상운영,운전,2023-01-20,2023-02-20,12
2023-01-23,GEN_003,정상운영,운전,2023-01-20,2023-02-21,3
2023-01-23,GEN_004,정상운영,운전,2023-01-04,2023-02-15,11
2023-01-23,GEN_005,정상운영,운전,2023-01-14,2023-02-10,11
2023-01-23,GEN_006,점검중,정지,2023-01-02,2023-02-18,5
2023-01-23,GEN_007,정상운영,운전,2023-01-09,2023-02-04,13
2023-01-23,GEN_008,정상운영,운전,2023-01-14,2023-02-06,12
2023-01-23,GEN_009,정상운영,대기,2023-01-12,2023-02-20,2
2023-01-23,GEN_010,정상운영,운전,2023-01-03,2023-02-11,10
2023-01-24,GEN_001,점검중,운전,2023-01-19,2023-02-04,12
2023-01-24,GEN_002,정상운영,운전,2022-12-26,2023-02-18,7
2023-01-24,GEN_003,정상운영,운전,2023-01-14,2023-02-13,9
2023-01-24,GEN_004,정상운영,운전,2023-01-08,2023-02-16,2
2023-01-24,GEN_005,정상운영,운전,2023-01-02,2023-02-13,2
2023-01-24,GEN_006,정상운영,운전,2023-01-03,2023-02-07,3
2023-01-24,GEN_007,정상운영,정지,2022-12-28,2023-02-15,5
2023-01-24,GEN_008,정상운영,대기,2023-01-16,2023-02-16,8
2023-01-24,GEN_009,정비중,운전,2023-01-20,2023-02-20,12
2023-01-24,GEN_010,정상운영,정지,2023-01-09,2023-02-11,6
2023-01-25,GEN_001,정상운영,운전,2023-01-24,2023-02-22,7
2023-01-25,GEN_002,정비중,운전,2023-01-19,2023-02-23,13
2023-01-25,GEN_003,정상운영,운전,2023-01-13,2023-02-22,11
2023-01-25,GEN_004,정상운영,대기,2023-01-21,2023-02-06,7
2023-01-25,GEN_005,정상운영,정지,2023-01-11,2023-02-20,12
2023-01-25,GEN_006,고장,대기,2023-01-21,2023-02-09,6
2023-01-25,GEN_007,정상운영,운전,2023-01-01,2023-02-18,10
2023-01-25,GEN_008,정비중,운전,2023-01-01,2023-02-21,9
2023-01-25,GEN_009,정상운영,운전,2023-01-15,2023-02-05,12
2023-01-25,GEN_010,정상운영,운전,2023-01-01,2023-02-07,9
2023-01-26,GEN_001,정상운영,운전,2023-01-09,2023-02-08,13
2023-01-26,GEN_002,정상운영,운전,2023-01-19,2023-02-05,6
2023-01-26,GEN_003,정상운영,정지,2023-01-10,2023-02-09,14
2023-01-26,GEN_004,정상운영,운전,2023-01-18,2023-02-07,9
2023-01-26,GEN_005,정상운영,운전,2023-01-24,2023-02-11,9
2023-01-26,GEN_006,정상운영,운전,2023-01-25,2023-02-07,5
2023-01-26,GEN_007,정상운영,운전,2022-12-31,2023-02-09,9
2023-01-26,GEN_008,정상운영,운전,2023-01-15,2023-02-06,9
2023-01-26,GEN_009,정상운영,운전,2023-01-23,2023-02-16,8
2023-01-26,GEN_010,정상운영,운전,2023-01-09,2023-02-20,3
2023-01-27,GEN_001,고장,정지,2023-01-16,2023-02-09,13
2023-01-27,GEN_002,정상운영,운전,2022-12-30,2023-02-08,13
2023-01-27,GEN_003,정상운영,정지,2023-01-07,2023-02-18,12
2023-01-27,GEN_004,정상운영,운전,2023-01-24,2023-02-20,7
2023-01-27,GEN_005,정상운영,운전,2023-01-13,2023-02-21,13
2023-01-27,GEN_006,정상운영,운전,2023-01-22,2023-02-20,3
2023-01-27,GEN_007,정상운영,운전,2023-01-10,2023-02-10,13
2023-01-27,GEN_008,정비중,운전,2023-01-02,2023-02-09,9
2023-01-27,GEN_009,정상운영,운전,2023-01-07,2023-02-11,9
2023-01-27,GEN_010,정상운영,정지,2023-01-23,2023-02-24,10
2023-01-28,GEN_001,정상운영,운전,2023-01-09,2023-02-19,9
2023-01-28,GEN_002,정상운영,운전,2023-01-24,2023-02-07,8
2023-01-28,GEN_003,정상운영,운전,2023-01-05,2023-02-24,7
2023-01-28,GEN_004,정상운영,대기,2023-01-07,2023-02-18,5
2023-01-28,GEN_005,정상운영,운전,2023-01-09,2023-02-20,8
2023-01-28,GEN_006,정상운영,정지,2023-01-20,2023-02-09,12
2023-01-28,GEN_007,정상운영,운전,2023-01-26,2023-02-17,5
2023-01-28,GEN_008,정상운영,정지,2022-12-31,2023-02-20,8
2023-01-28,GEN_009,정상운영,운전,2023-01-09,2023-02-24,10
2023-01-28,GEN_010,정상운영,정지,2023-01-27,2023-02-18,14
2023-01-29,GEN_001,정상운영,정지,2023-01-21,2023-02-21,11
2023-01-29,GEN_002,정상운영,운전,2023-01-25,2023-02-23,6
2023-01-29,GEN_003,정비중,운전,2023-01-15,2023-02-18,2
2023-01-29,GEN_004,점검중,운전,2023-01-04,2023-02-12,12
2023-01-29,GEN_005,정비중,운전,2022-12-31,2023-02-13,14
2023-01-29,GEN_006,정상운영,정지,2023-01-11,2023-02-08,10
2023-01-29,GEN_007,정상운영,운전,2023-01-25,2023-02-20,10
2023-01-29,GEN_008,정상운영,운전,2023-01-20,2023-02-15,14
2023-01-29,GEN_009,정상운영,운전,2023-01-01,2023-02-16,14
2023-01-29,GEN_010,고장,정지,2023-01-13,2023-02-08,14
2023-01-30,GEN_001,정상운영,운전,2023-01-05,2023-02-17,7
2023-01-30,GEN_002,정상운영,운전,2023-01-13,2023-02-23,4
2023-01-30,GEN_003,고장,운전,2023-01-03,2023-02-21,2
2023-01-30,GEN_004,정상운영,운전,2023-01-24,2023-02-24,6
2023-01-30,GEN_005,정상운영,운전,2023-01-22,2023-02-10,2
2023-01-30,GEN_006,정상운영,운전,2023-01-28,2023-02-12,10
2023-01-30,GEN_007,정상운영,운전,2023-01-20,2023-02-20,10
2023-01-30,GEN_008,정상운영,운전,2023-01-06,2023-02-16,9
2023-01-30,GEN_009,점검중,운전,2023-01-12,2023-02-11,5
2023-01-30,GEN_010,정상운영,운전,2023-01-04,2023-02-23,7
2023-01-31,GEN_001,정상운영,운전,2023-01-21,2023-02-12,11
2023-01-31,GEN_002,정비중,운전,2023-01-23,2023-02-10,10
2023-01-31,GEN_003,정상운영,대기,2023-01-07,2023-02-26,5
2023-01-31,GEN_004,정상운영,운전,2023-01-23,2023-02-27,13
2023-01-31,GEN_005,정상운영,운전,2023-01-08,2023-02-19,4
2023-01-31,GEN_006,정상운영,운전,2023-01-21,2023-02-17,11
2023-01-31,GEN_007,정상운영,운전,2023-01-13,2023-02-10,6
2023-01-31,GEN_008,정상운영,정지,2023-01-15,2023-02-15,7
2023-01-31,GEN_009,정상운영,정지,2023-01-17,2023-02-26,13
2023-01-31,GEN_010,정상운영,운전,2023-01-05,2023-02-14,3
2023-02-01,GEN_001,정비중,운전,2023-01-29,2023-02-24,6
2023-02-01,GEN_002,정상운영,운전,2023-01-13,2023-02-23,11
2023-02-01,GEN_003,정상운영,운전,2023-01-27,2023-02-16,8
2023-02-01,GEN_004,정상운영,운전,2023-01-12,2023-02-15,5
2023-02-01,GEN_005,정상운영,운전,2023-01-21,2023-02-13,12
2023-02-01,GEN_006,정상운영,운전,2023-01-22,2023-02-18,13
2023-02-01,GEN_007,고장,운전,2023-01-17,2023-02-17,11
2023-02-01,GEN_008,고장,운전,2023-01-27,2023-02-23,14
2023-02-01,GEN_009,정상운영,운전,2023-01-08,2023-02-26,3
2023-02-01,GEN_010,정상운영,운전,2023-01-30,2023-02-14,14
2023-02-02,GEN_001,정상운영,운전,2023-01-25,2023-02-21,9
2023-02-02,GEN_002,정상운영,운전,2023-01-12,2023-02-13,3
2023-02-02,GEN_003,정상운영,운전,2023-01-24,2023-02-24,12
2023-02-02,GEN_004,정상운영,운전,2023-01-29,2023-03-02,9
2023-02-02,GEN_005,정상운영,운전,2023-01-15,2023-03-02,8
2023-02-02,GEN_006,정상운영,운전,2023-01-06,2023-02-16,7
2023-02-02,GEN_007,정상운영,운전,2023-01-14,2023-02-22,6
2023-02-02,GEN_008,정상운영,운전,2023-01-05,2023-02-18,8
2023-02-02,GEN_009,점검중,운전,2023-01-06,2023-02-15,6
2023-02-02,GEN_010,정상운영,대기,2023-01-07,2023-02-22,13
2023-02-03,GEN_001,고장,운전,2023-01-17,2023-02-26,5
2023-02-03,GEN_002,정상운영,운전,2023-01-06,2023-03-04,3
2023-02-03,GEN_003,점검중,대기,2023-01-20,2023-02-19,11
2023-02-03,GEN_004,정상운영,운전,2023-01-21,2023-02-28,6
2023-02-03,GEN_005,정상운영,대기,2023-01-07,2023-02-19,10
2023-02-03,GEN_006,정상운영,운전,2023-01-23,2023-02-17,13
2023-02-03,GEN_007,점검중,정지,2023-01-09,2023-02-23,14
2023-02-03,GEN_008,정상운영,정지,2023-01-30,2023-02-26,6
2023-02-03,GEN_009,정상운영,운전,2023-01-11,2023-02-17,8
2023-02-03,GEN_010,정비중,대기,2023-01-20,2023-02-27,12
2023-02-04,GEN_001,정비중,운전,2023-01-14,2023-03-02,11
2023-02-04,GEN_002,정상운영,운전,2023-01-30,2023-02-19,3
2023-02-04,GEN_003,정상운영,운전,2023-01-30,2023-03-02,4
2023-02-04,GEN_004,정상운영,운전,2023-01-27,2023-02-26,8
2023-02-04,GEN_005,정상운영,운전,2023-01-10,2023-02-15,8
2023-02-04,GEN_006,정상운영,운전,2023-01-16,2023-02-19,3
2023-02-04,GEN_007,정상운영,운전,2023-01-18,2023-02-19,14
2023-02-04,GEN_008,정상운영,운전,2023-02-02,2023-02-14,7
2023-02-04,GEN_009,정상운영,운전,2023-02-03,2023-02-21,13
2023-02-04,GEN_010,정상운영,운전,2023-01-19,2023-02-22,11
2023-02-05,GEN_001,정비중,운전,2023-02-04,2023-02-24,13
2023-02-05,GEN_002,정비중,운전,2023-01-30,2023-03-02,10
2023-02-05,GEN_003,정상운영,정지,2023-01-20,2023-03-03,2
2023-02-05,GEN_004,정상운영,운전,2023-01-14,2023-02-15,8
2023-02-05,GEN_005,정상운영,운전,2023-01-26,2023-02-24,7
2023-02-05,GEN_006,정비중,운전,2023-01-28,2023-02-22,7
2023-02-05,GEN_007,점검중,운전,2023-01-15,2023-02-25,11
2023-02-05,GEN_008,정상운영,대기,2023-01-23,2023-02-18,11
2023-02-05,GEN_009,정비중,운전,2023-01-18,2023-02-15,4
2023-02-05,GEN_010,정비중,운전,2023-01-20,2023-03-03,9
2023-02-06,GEN_001,정상운영,운전,2023-01-09,2023-03-07,7
2023-02-06,GEN_002,점검중,운전,2023-01-25,2023-02-16,7
2023-02-06,GEN_003,점검중,대기,2023-01-19,2023-02-25,2
2023-02-06,GEN_004,정상운영,대기,2023-01-30,2023-02-26,7
2023-02-06,GEN_005,정상운영,운전,2023-01-22,2023-02-25,2
2023-02-06,GEN_006,정비중,운전,2023-02-04,2023-03-02,14
2023-02-06,GEN_007,정상운영,운전,2023-01-31,2023-02-18,14
2023-02-06,GEN_008,정상운영,운전,2023-01-12,2023-02-22,5
2023-02-06,GEN_009,정상운영,운전,2023-02-03,2023-02-27,6
2023-02-06,GEN_010,점검중,운전,2023-01-25,2023-02-18,9
2023-02-07,GEN_001,정비중,운전,2023-01-11,2023-02-18,5
2023-02-07,GEN_002,정비중,운전,2023-01-14,2023-03-05,11
2023-02-07,GEN_003,정상운영,운전,2023-01-15,2023-02-18,14
2023-02-07,GEN_004,정상운영,운전,2023-01-26,2023-02-25,10
2023-02-07,GEN_005,점검중,정지,2023-01-12,2023-02-24,10
2023-02-07,GEN_006,정상운영,대기,2023-01-31,2023-02-22,9
2023-02-07,GEN_007,정상운영,운전,2023-01-14,2023-02-18,7
2023-02-07,GEN_008,정상운영,정지,2023-01-28,2023-02-20,11
